Days,Misses,Hits,Bypasses,Expired,Updating,Revalidated,Stale
1,6878,22063,0,0,0,0,0
2,8199,52770,0,73,9,3055,7
3,4641,20119,0,62,10,2426,0
4,3916,16007,0,51,15,2364,0
5,8269,47858,0,37,21,2844,11
6,12404,71789,0,86,22,4266,28
7,8348,52404,0,138,5,2475,3
8,12522,91707,0,208,7,5778,6
9,4870,61544,0,128,9,4962,1
10,5065,25190,0,63,13,3326,0
11,3002,16495,0,55,15,2890,0
12,9416,76297,0,16,10,3154,4
13,5944,61445,0,6,0,289,0
14,8249,36461,0,7,0,131,0
15,4073,20532,0,1,0,0,0
16,4070,20431,0,1,0,0,0
17,3995,20545,0,2,0,0,0
18,4121,19984,0,1,0,0,0
19,4105,21170,0,1,0,0,0
20,6972,32188,0,19,0,53,0
21,5692,23745,0,119,7,314,1
22,4781,22223,0,208,19,658,2
23,3064,12007,0,125,24,430,1
24,3037,12172,0,137,15,806,0
25,5219,22814,0,161,29,855,1
26,5177,15583,0,152,16,750,3
27,7072,42062,0,58,9,708,0
28,10608,63093,0,113,7,1651,0
29,8019,45880,0,172,34,5187,0
30,5346,30586,0,95,32,2223,0
